TimeStamp,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz
13:09:56,0,0,0,0,0,0,0,0,0
13:48:55,-798,-326,363,-2121,-754,3551,576,305,726
13:48:55,-611,-164,337,-2136,-652,3824,582,318,730
13:48:55,-516,-256,495,-2111,-636,3719,578,315,730
13:48:55,-799,-720,279,-1908,-539,3664,570,325,730
13:48:55,-965,-267,364,-1857,-795,3614,583,317,735
13:48:55,-699,-187,397,-2058,-801,3802,581,314,728
13:48:55,-684,-272,387,-2067,-817,3681,572,314,737
13:48:55,-690,-261,516,-1955,-761,3981,572,319,726
13:48:55,-587,-362,352,-1962,-951,3822,594,311,741
13:48:55,-1454,-356,294,-1862,-558,3855,580,320,741
13:48:55,-575,-279,367,-2057,-705,3882,579,314,724
13:48:56,-969,-408,452,-2015,-809,3828,583,317,735
13:48:56,-843,-80,333,-1864,-846,3753,572,319,733
13:48:56,-669,-101,113,-1764,-670,3782,579,321,722
13:48:56,-581,-187,394,-1847,-892,3659,580,315,723
13:48:56,-738,-189,120,-2070,-989,3793,580,318,730
13:48:56,-646,-38,333,-1780,-1005,3865,570,320,727
13:48:56,-574,-308,337,-2174,-752,3723,581,309,731
13:48:56,-840,-224,100,-1942,-680,3773,572,314,728
13:48:56,-703,-2,476,-1971,-887,3795,565,309,712
13:48:56,-921,-396,35,-2001,-725,3710,570,308,727
13:48:57,-768,-362,264,-2067,-757,3989,576,314,731
13:48:57,-785,-205,2,-2156,-553,3650,581,314,726
13:48:57,-800,-374,44,-1975,-686,3532,574,319,728
13:48:57,-854,-220,369,-1952,-834,3816,572,326,733
13:48:57,-623,-324,236,-1888,-891,3701,573,323,718
13:48:57,-832,-300,1,-1878,-956,3624,576,312,728
13:48:57,-599,-347,188,-2045,-1003,3731,573,318,730
13:48:57,-585,-288,205,-2155,-992,3850,572,324,724
13:48:57,-611,-339,507,-2121,-674,3692,581,314,728
13:48:58,-646,-193,26,-1893,-1058,3552,572,321,724
13:48:58,-700,-244,610,-1821,-893,3644,569,319,728
13:48:58,-698,-400,236,-1887,-546,3557,575,313,732
13:48:58,-782,-288,280,-1915,-526,3949,575,323,720
13:48:58,-600,-264,37,-1939,-554,4000,579,324,724
13:48:58,-869,-294,50,-1932,-865,3526,574,319,740
13:48:58,-757,-360,203,-1965,-810,3660,572,312,717
13:48:58,-655,-125,-164,-1858,-950,3657,579,331,726
13:48:58,-745,-389,-4,-2069,-752,3921,578,311,730
13:48:58,-454,-121,205,-2058,-861,3712,570,313,725
13:48:58,-746,-240,83,-1939,-921,3724,567,317,722
13:48:59,-648,-317,521,-2183,-938,3626,572,309,724
13:48:59,-553,-375,499,-1957,-874,3807,583,317,731
13:48:59,-870,-356,261,-2046,-753,4063,576,319,722
13:48:59,-826,-292,280,-1867,-759,3517,581,314,733
13:48:59,-829,-218,227,-1879,-969,3936,572,321,733
13:48:59,-1275,-214,531,-1968,-686,3726,573,318,730
13:48:59,-687,-114,512,-1887,-1078,3558,581,312,737
13:48:59,-561,-275,296,-1858,-776,3706,579,328,724
13:48:59,-643,-270,398,-2237,-1085,3951,580,318,730
13:48:59,-615,-341,353,-1745,-945,3877,588,321,742
13:49:00,-607,-208,156,-2063,-921,3609,581,321,726
13:49:00,-707,-201,82,-2227,-849,3936,578,318,732
13:49:00,-855,-100,289,-2120,-540,3719,583,317,726
13:49:00,-591,-237,79,-2144,-1031,3569,579,321,728
13:49:00,-552,-388,196,-1883,-860,3686,574,314,722
13:49:00,-635,-150,316,-2066,-546,3911,570,311,741
13:49:00,-908,-436,-2,-1893,-885,4052,572,326,728
13:49:00,-698,-168,243,-2210,-725,3612,574,328,724
13:49:00,-674,-258,318,-2152,-863,3671,579,312,733
13:49:01,-846,-161,284,-2043,-582,3728,576,319,719
13:49:01,-746,-211,31,-2356,-1005,4013,576,312,733
13:49:01,-781,-209,298,-1943,-920,4019,580,313,732
13:49:01,-874,-136,84,-1977,-1066,3753,570,308,730
13:49:01,-708,-266,328,-2000,-737,3866,578,313,725
13:49:01,-779,-273,388,-1943,-1092,3681,585,325,730
13:49:01,-644,-214,150,-2032,-983,3844,575,323,720
13:49:01,-712,-173,265,-1969,-775,3776,574,317,728
13:49:01,-575,-284,590,-2071,-827,3833,578,318,720
13:49:01,-762,-143,250,-2150,-661,3746,575,320,727
13:49:01,-688,-279,118,-2176,-787,3960,570,320,732
13:49:02,-690,-245,468,-2131,-918,3758,573,315,723
13:49:02,-699,-133,177,-1912,-888,3774,575,325,732
13:49:02,-654,-307,241,-1996,-555,3950,573,327,734
13:49:02,-706,-174,355,-2217,-573,3871,576,312,737
13:49:02,-724,-335,17,-1881,-669,3706,585,315,732
13:49:02,-572,-281,445,-2258,-1065,3713,580,308,727
13:49:02,-687,-89,298,-2021,-947,3932,588,307,728
13:49:02,-743,-283,319,-1933,-750,3735,570,325,727
13:49:02,-543,-205,449,-2209,-947,3768,578,325,734
13:49:02,-784,-245,305,-1818,-945,3621,581,312,742
13:49:03,-676,-142,401,-2022,-938,3717,579,309,731
13:49:03,-663,-183,414,-1813,-1058,3708,574,314,731
13:49:03,-595,-173,46,-1929,-753,3833,582,315,732
13:49:03,-760,-67,164,-1903,-828,3960,574,321,731
13:49:03,-760,-330,443,-1961,-875,3798,575,325,725
13:49:03,-585,-156,292,-1936,-868,3957,586,307,733
13:49:03,-625,-222,470,-2040,-858,3793,575,318,725
13:49:03,-686,-227,317,-2015,-647,3861,581,328,719
13:49:03,-501,-161,150,-2345,-849,3553,587,323,730
13:49:04,-808,-200,219,-2113,-795,3846,576,314,722
13:49:04,-670,-103,545,-2016,-698,3759,582,315,739
13:49:04,-690,-163,273,-2091,-796,4145,581,307,728
13:49:04,-857,-269,154,-1770,-898,3865,580,315,736
13:49:04,-721,-378,193,-1758,-835,3858,586,317,726
13:49:04,-647,-222,116,-1872,-1067,3795,583,317,735
13:49:04,-792,-357,131,-2036,-712,3889,579,324,731
13:49:04,-511,-346,169,-2077,-763,3720,569,319,740
13:49:04,-781,-185,71,-2123,-662,3852,586,309,735
13:49:04,-798,-303,373,-1957,-691,3855,580,323,741
13:49:04,-848,-382,190,-2069,-918,3850,585,318,727
13:49:05,-815,-136,393,-1815,-713,3847,581,319,737
13:49:05,-771,-82,119,-2133,-1096,3554,583,314,735
13:49:05,-628,-273,281,-1946,-875,3905,580,320,727
13:49:05,-744,-309,145,-1897,-791,3945,582,318,741
13:49:05,-600,-271,180,-2065,-885,3802,569,312,726
13:49:05,-603,-177,397,-1834,-814,3586,583,324,731
13:49:05,-694,-143,434,-1973,-1011,3733,583,314,733
13:49:05,-557,-277,137,-2049,-711,3654,578,311,723
13:49:05,-775,-278,429,-1977,-990,3571,581,319,737
13:49:05,-583,-219,126,-2151,-800,3724,580,308,727
13:49:06,-829,-170,584,-2018,-688,3850,576,317,728
13:49:06,-481,-437,540,-2116,-1038,3763,573,315,732
13:49:06,-605,-187,128,-2179,-769,3506,574,305,733
13:49:06,-826,-390,570,-2048,-838,3955,589,313,725
13:49:06,-506,-230,65,-1947,-938,3919,566,313,732
13:49:06,-691,-274,284,-2087,-723,3568,581,319,737
13:49:06,-709,-118,545,-1934,-965,3845,572,319,724
13:49:06,-783,-273,264,-1961,-797,3957,574,309,728
13:49:06,-593,-209,243,-2092,-811,3759,579,314,728
13:49:07,-658,-237,-14,-2043,-747,3661,579,317,726
13:49:07,-751,-151,21,-2023,-730,3617,586,314,724
13:49:07,-790,-394,240,-1902,-1007,3872,588,307,740
13:49:07,-799,-320,319,-2026,-852,3881,575,318,725
13:49:07,-761,-283,278,-2226,-794,3747,580,325,734
13:49:07,-519,-132,-47,-2109,-962,4034,570,313,732
13:49:07,-801,-254,319,-1987,-856,3821,582,325,730
13:49:07,-436,-192,529,-1982,-847,3708,578,325,723
13:49:07,-660,-310,318,-2059,-868,3992,586,309,728
13:49:07,-717,-246,65,-2126,-551,3938,579,317,737
13:49:07,-849,-308,167,-2156,-1086,3926,583,319,735
13:49:08,-570,-212,499,-2237,-693,3760,582,313,723
13:49:08,-775,-317,127,-1841,-820,3877,575,325,725
13:49:08,-605,-297,376,-1907,-798,3825,569,319,733
13:49:08,-469,-232,160,-2131,-662,3727,580,306,732
13:49:08,-701,-309,179,-1813,-836,3894,572,326,722
13:49:08,-442,-142,527,-1955,-1010,3762,570,318,727
13:49:08,-929,-323,126,-1980,-860,3799,579,309,735
13:49:08,-658,-211,217,-2054,-759,4090,581,324,726
13:49:08,-539,-413,472,-1823,-774,4055,575,313,734
13:49:08,-735,-273,30,-1949,-678,3800,583,324,733
13:49:09,-537,-391,511,-1852,-782,3884,585,323,734
13:49:09,-554,-172,-39,-1928,-599,3759,579,324,728
13:49:09,-619,-123,82,-1868,-773,3734,581,312,735
13:49:09,-646,-182,356,-2004,-868,3554,581,319,733
13:49:09,-434,-242,81,-1913,-792,3749,587,330,732
13:49:09,-552,-165,119,-2059,-1042,3641,567,309,726
13:49:09,-775,-202,183,-1882,-983,3853,579,321,731
13:49:09,-708,-285,331,-1968,-717,3853,579,321,724
13:49:09,-559,-364,194,-1984,-681,3746,574,307,733
13:49:10,-700,-263,163,-2180,-870,3559,575,313,734
13:49:10,-738,-216,266,-1873,-786,3435,572,321,726
13:49:10,-607,-259,232,-2015,-761,3630,580,313,723
13:49:10,-507,-266,303,-2088,-599,3775,568,320,732
13:49:10,-677,-242,448,-1994,-550,3698,583,314,728
13:49:10,-713,-337,273,-1878,-674,3907,580,301,736
13:49:10,-457,-249,321,-1939,-718,4129,592,327,723
13:49:10,-549,-220,377,-1886,-856,4054,576,319,726
13:49:10,-776,-213,12,-1812,-1015,3812,587,330,727
13:49:10,-941,-91,364,-2020,-908,3865,575,320,732
13:49:10,-686,-278,561,-2086,-817,3847,579,317,726
13:49:11,-878,-331,221,-1976,-926,3814,581,326,726
13:49:11,-767,-258,426,-2190,-1030,3741,578,313,723
13:49:11,-501,-402,320,-1956,-796,3776,576,305,719
13:49:11,-556,-161,282,-2092,-784,3843,576,312,722
13:49:11,-607,-331,334,-2168,-846,3888,576,312,731
13:49:11,-756,-230,276,-1932,-806,3742,578,306,725
13:49:11,-796,-317,629,-1923,-930,3732,582,318,723
13:49:11,-732,-248,351,-2010,-728,3737,588,324,733
13:49:11,-690,-109,283,-1942,-1274,3900,583,309,731
13:49:11,-390,-217,276,-1854,-837,3876,586,319,726
13:49:12,-493,-216,267,-1853,-1079,3913,570,315,725
13:49:12,-428,-201,218,-1860,-868,3808,575,308,723
13:49:12,-673,-382,614,-2010,-667,3891,579,309,740
13:49:12,-478,-63,211,-1838,-831,3814,572,324,728
13:49:12,-751,-214,-47,-2280,-938,3966,570,313,723
13:49:12,-622,-133,81,-2243,-998,3877,587,308,727
13:49:12,-685,-344,407,-1885,-847,3824,574,324,726
13:49:12,-546,-299,166,-1894,-880,3955,574,317,726
13:49:12,-701,-156,-97,-1951,-795,3606,581,319,735
13:49:13,-715,-143,269,-1991,-813,3841,574,319,735
13:49:13,-712,-340,308,-2206,-923,3902,567,319,728
13:49:13,-611,-397,347,-1857,-599,3801,589,318,730
13:49:13,-811,5,347,-2070,-681,3830,574,319,728
13:49:13,-734,-296,219,-2019,-762,3649,576,317,724
13:49:13,-944,-329,244,-2018,-698,3875,586,314,726
13:49:13,-665,-268,271,-2088,-689,3852,566,315,718
13:49:13,-729,-384,97,-2080,-656,3892,585,318,727
13:49:13,-772,-269,360,-2002,-922,3676,570,308,725
13:49:13,-928,-163,346,-1919,-1045,3866,581,317,733
13:49:13,-834,-199,92,-2032,-670,3678,575,320,732
13:49:14,-669,-188,501,-2174,-653,3815,569,321,726
13:49:14,-702,-303,299,-2056,-351,3735,586,317,724
13:49:14,-498,-154,160,-2179,-827,4033,578,313,723
13:49:14,-839,-215,46,-1994,-893,3668,588,317,733
13:49:14,-463,-231,247,-2014,-884,3921,579,312,724
13:49:14,-660,-352,-129,-1919,-692,3915,583,319,724
13:49:14,-808,-214,330,-1751,-727,3703,578,315,732
13:49:14,-609,-346,461,-2029,-564,3604,578,304,727
13:49:14,-635,-336,149,-2075,-829,3653,566,320,727
13:49:14,-352,-129,30,-2063,-1028,3667,570,318,734
13:49:15,-732,-66,493,-2089,-815,3660,581,309,728
13:49:15,-474,-174,317,-2196,-735,3781,575,320,732
13:49:15,-636,-340,271,-1969,-825,3670,585,323,718
13:49:15,-758,-76,277,-1928,-727,3853,575,315,720
13:49:15,-549,-347,455,-2083,-779,3949,578,313,723
13:49:15,-611,-300,196,-1778,-846,3855,574,321,728
13:49:15,-856,-196,442,-1971,-612,3971,587,320,723
13:49:15,-770,-389,72,-2119,-746,4088,570,311,736
13:49:15,-510,-228,342,-1881,-956,3539,572,317,726
13:49:16,-899,-161,264,-2151,-795,3597,585,318,734
13:49:16,-691,-346,385,-1940,-602,3879,589,315,720
13:49:16,-840,-287,441,-2105,-857,3913,574,321,719
13:49:16,-575,-90,411,-2092,-744,3921,570,311,730
13:49:16,-645,-392,149,-1812,-669,3818,585,313,725
13:49:16,-642,-153,370,-1926,-690,3821,583,317,728
