TimeStamp,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz
13:10:09,0,0,0,0,0,0,0,0,0
13:42:08,1237,76,-253,3136,421,-2730,540,-101,1555
13:42:08,1427,87,-395,2949,860,-2463,534,-102,1556
13:42:08,1275,113,-7,3196,626,-2770,532,-94,1553
13:42:08,1061,323,-115,3373,522,-2524,543,-102,1554
13:42:08,1826,87,85,3233,387,-2693,531,-100,1549
13:42:08,1322,166,-388,3168,309,-2461,541,-97,1547
13:42:08,1206,524,-460,3307,457,-2374,546,-109,1549
13:42:08,390,651,-457,3203,305,-2659,531,-97,1543
13:42:08,840,305,-581,2934,550,-2607,532,-101,1548
13:42:09,1155,150,-469,3358,269,-2721,536,-107,1547
13:42:09,1052,381,-161,3105,720,-2902,534,-105,1547
13:42:09,1692,588,-139,3165,431,-2716,536,-105,1554
13:42:09,1658,194,-190,3466,462,-2398,537,-108,1553
13:42:09,1593,293,-424,3174,525,-2627,537,-108,1558
13:42:09,973,385,-138,2965,554,-2468,529,-105,1545
13:42:09,1183,-8,-431,3276,839,-2716,525,-99,1551
13:42:09,1127,427,-289,3343,438,-2710,536,-102,1554
13:42:09,1108,460,-150,3181,619,-2672,535,-106,1562
13:42:09,1374,20,-204,3225,704,-2429,531,-105,1552
13:42:09,1030,98,-206,2960,624,-2536,529,-97,1547
13:42:10,1122,319,-202,3129,564,-2521,539,-109,1547
13:42:10,1148,413,-241,3367,776,-2644,541,-105,1547
13:42:10,1279,254,-357,3229,535,-2723,536,-102,1549
13:42:10,974,175,-338,3266,744,-2733,542,-94,1548
13:42:10,1319,765,-378,3145,448,-2707,531,-97,1547
13:42:10,1141,65,-109,2919,752,-2621,525,-94,1553
13:42:10,961,524,-15,2833,425,-2972,534,-105,1545
13:42:10,861,-7,-455,2923,592,-2570,530,-113,1551
13:42:10,1226,173,-321,3114,468,-2613,534,-90,1549
13:42:10,1226,130,-331,3037,313,-2491,541,-105,1538
13:42:11,1101,412,-66,3140,519,-2746,529,-100,1552
13:42:11,1091,79,-180,3050,502,-2335,536,-107,1547
13:42:11,1323,158,-311,3113,841,-2608,539,-109,1554
13:42:11,1103,275,-359,3149,699,-2587,540,-106,1551
13:42:11,1535,341,-375,3294,453,-2593,540,-103,1551
13:42:11,985,343,-533,3198,425,-2656,540,-108,1558
13:42:11,1132,189,-266,3085,502,-2564,540,-106,1534
13:42:11,1446,268,-126,2984,707,-2659,535,-106,1558
13:42:11,1165,323,-261,3433,682,-2606,526,-95,1547
13:42:12,1374,137,-144,3249,276,-2379,536,-109,1547
13:42:12,1268,259,-307,3089,429,-2657,539,-109,1554
13:42:12,1112,375,-174,3387,723,-2725,528,-101,1548
13:42:12,1411,76,-273,3192,424,-2735,539,-100,1547
13:42:12,1315,414,-300,3095,672,-2825,532,-106,1553
13:42:12,623,143,-52,3301,700,-2855,528,-106,1553
13:42:12,1104,110,-348,2985,610,-2423,526,-105,1549
13:42:12,1401,58,-203,3223,555,-2515,536,-112,1556
13:42:12,1156,263,-455,3158,507,-2697,529,-107,1561
13:42:12,1555,322,-457,3234,683,-2510,529,-105,1549
13:42:12,1483,231,-65,3380,481,-2452,536,-107,1556
13:42:13,1223,347,-416,3292,371,-2643,529,-100,1552
13:42:13,1061,233,-416,2893,793,-2496,530,-103,1551
13:42:13,1224,325,-309,3334,768,-2599,519,-97,1547
13:42:13,1341,170,-322,3236,481,-2535,534,-107,1563
13:42:13,1162,161,-422,3316,636,-2661,537,-106,1558
13:42:13,835,257,-399,3143,585,-2612,529,-105,1561
13:42:13,825,303,-429,3112,548,-2545,537,-106,1558
13:42:13,1438,358,-10,3221,596,-2583,530,-111,1544
13:42:13,1316,-148,-55,3370,550,-2515,540,-103,1553
13:42:13,1694,287,-262,3078,337,-2467,529,-105,1559
13:42:14,1208,138,-341,3292,595,-2782,537,-96,1555
13:42:14,908,289,-97,3184,317,-2637,535,-99,1548
13:42:14,1215,498,-346,3251,495,-2632,541,-105,1552
13:42:14,1237,-51,-343,3181,338,-2698,531,-102,1554
13:42:14,1572,251,-149,3343,478,-2697,536,-112,1554
13:42:14,1094,275,-372,3015,495,-2550,531,-105,1545
13:42:14,1196,217,-487,3151,650,-2593,531,-107,1549
13:42:14,880,212,-296,2854,581,-2447,541,-102,1554
13:42:14,718,97,-22,2993,766,-2650,529,-102,1554
13:42:14,1484,191,-152,3263,610,-2459,534,-95,1554
13:42:15,1187,305,-189,3117,565,-2474,542,-108,1562
13:42:15,637,257,-195,3023,641,-2809,534,-105,1554
13:42:15,1258,286,-453,3413,589,-2719,530,-111,1548
13:42:15,1489,367,-302,2950,462,-2612,530,-103,1548
13:42:15,1392,175,-387,2865,540,-2756,541,-100,1540
13:42:15,874,206,-370,3160,728,-2585,535,-103,1530
13:42:15,1222,288,-259,2960,611,-2629,536,-97,1552
13:42:15,654,153,-17,3400,763,-2517,542,-106,1551
13:42:15,1088,262,-130,3271,536,-2684,539,-112,1547
13:42:15,1195,377,-185,3257,424,-2604,529,-105,1547
13:42:16,1170,49,-267,3012,647,-2716,528,-108,1541
13:42:16,1180,186,-389,3070,382,-2695,526,-107,1552
